University,Author Name,Author URL
ÖZYEĞİN ÜNİVERSİTESİ,H. Canan Sümer,https://scholar.google.com/citations?view_op=medium_photo&user=t7bBov0AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Evsen Yanmaz,https://scholar.google.com/citations?view_op=medium_photo&user=1icBym8AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Erhan Oztop,https://scholar.google.com/citations?view_op=medium_photo&user=A8YEQMMAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Murat Somer,https://scholar.google.com/citations?view_op=medium_photo&user=czjYkIYAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Tufan Adıgüzel,https://scholar.google.com/citations?view_op=medium_photo&user=bIK6lPIAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ilker Hamzaoglu,https://scholar.google.com/citations?view_op=medium_photo&user=9xkNFsUAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Canan Ergin,https://scholar.google.com/citations?view_op=medium_photo&user=2Xj9sskAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,MI Aksun,https://scholar.google.com/citations?view_op=medium_photo&user=eT0vTMQAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ekrem Duman,https://scholar.google.com/citations?view_op=medium_photo&user=e7LvetMAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Baris Tan,https://scholar.google.com/citations?view_op=medium_photo&user=aqw-qToAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Tanju Erdem,https://scholar.google.com/citations?view_op=medium_photo&user=0xAZgi4AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ilknur Erucar,https://scholar.google.com/citations?view_op=medium_photo&user=mFXwpdcAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,G. Tarcan Kumkale,https://scholar.google.com/citations?view_op=medium_photo&user=OBNlcmoAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Mehmet Genc,https://scholar.google.com/citations?view_op=medium_photo&user=48D5J0UAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Guney Guven Yapici,https://scholar.google.com/citations?view_op=medium_photo&user=VkSN8WYAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Olcay Taner Yildiz,https://scholar.google.com/citations?view_op=medium_photo&user=CCdVhSsAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Bige Saatcioglu,https://scholar.google.com/citations?view_op=medium_photo&user=Ltl2_gcAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ismail Ari,https://scholar.google.com/citations?view_op=medium_photo&user=00tvX_4AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Mahmut Bayazit,https://scholar.google.com/citations?view_op=medium_photo&user=E47L5rsAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Bekir Bartin,https://scholar.google.com/citations?view_op=medium_photo&user=FWa0Nd4AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Cigdem Eroglu Erdem,https://scholar.google.com/citations?view_op=medium_photo&user=5m6IrpgAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Parviz Elahi,https://scholar.google.com/citations?view_op=medium_photo&user=dZ5KCGgAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ceyda Maden Eyiusta,https://scholar.google.com/citations?view_op=medium_photo&user=ts7f8Y4AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Asiye Kumru,https://scholar.google.com/citations?view_op=medium_photo&user=gfHtMrAAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ibrahim Acar,https://scholar.google.com/citations?view_op=medium_photo&user=YF9rO5wAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,M. Furkan Kirac,https://scholar.google.com/citations?view_op=medium_photo&user=kdJBxv8AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ali İ Tekcan,https://scholar.google.com/citations?view_op=medium_photo&user=MIX7Ef8AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Evren Balta,https://scholar.google.com/citations?view_op=medium_photo&user=PjOxKiIAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Gulay Altay,https://scholar.google.com/citations?view_op=medium_photo&user=dD6H41sAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Barkan Ugurlu,https://scholar.google.com/citations?view_op=medium_photo&user=iCXFnPgAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,İhsan Yanıkoğlu,https://scholar.google.com/citations?view_op=medium_photo&user=1UBnG2EAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Reyhan Aydogan,https://scholar.google.com/citations?view_op=medium_photo&user=sHL3j0kAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Seydi Yavas,https://scholar.google.com/citations?view_op=medium_photo&user=NIr6ezQAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Cenk Demiroglu,https://scholar.google.com/citations?view_op=medium_photo&user=d69Sf9sAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ozkan Bebek,https://scholar.google.com/citations?view_op=medium_photo&user=elKB_6gAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ozlem Yenerer Cakmut,https://scholar.google.com/citations?view_op=medium_photo&user=PRb18ZsAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Deniz S. Sert,https://scholar.google.com/citations?view_op=medium_photo&user=kFc7yBQAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ali Ekici,https://scholar.google.com/citations?view_op=medium_photo&user=GA639wEAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Berk Ataman,https://scholar.google.com/citations?view_op=medium_photo&user=ae2axagAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Umit Ozlale,https://scholar.google.com/citations?view_op=medium_photo&user=7uaUABgAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Husnu Ata Erbay,https://scholar.google.com/citations?view_op=medium_photo&user=8gCGY0oAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Aysin Pasamehmetoglu,https://scholar.google.com/citations?view_op=medium_photo&user=C4_yjYIAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Hasan Sozer,https://scholar.google.com/citations?view_op=medium_photo&user=L3FuUX0AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Okan Orsan Ozener,https://scholar.google.com/citations?view_op=medium_photo&user=juwNugoAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Alper Ünlü,https://scholar.google.com/citations?view_op=medium_photo&user=zkAkU04AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Kubra Kalkan,https://scholar.google.com/citations?view_op=medium_photo&user=xE0INEMAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,M. Burcin Unlu,https://scholar.google.com/citations?view_op=medium_photo&user=u0X9VHMAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ragip Akbas,https://scholar.google.com/citations?view_op=medium_photo&user=jQQZ3mQAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Isil Erol,https://scholar.google.com/citations?view_op=medium_photo&user=SgHktuoAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,H. Akin Unver,https://scholar.google.com/citations?view_op=medium_photo&user=w5bGq5IAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Levent Güntay,https://scholar.google.com/citations?view_op=medium_photo&user=YkqRDXoAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Zeynep Basaran Bundur,https://scholar.google.com/citations?view_op=medium_photo&user=IPoL-T0AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Erik den Hartigh,https://scholar.google.com/citations?view_op=medium_photo&user=4L2JadcAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ahmed Akgiray,https://scholar.google.com/citations?view_op=medium_photo&user=EEPwM78AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Hasan F. Ateş,https://scholar.google.com/citations?view_op=medium_photo&user=4YHgEJQAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Han Ozsoylev,https://scholar.google.com/citations?view_op=medium_photo&user=enOMi4sAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Volkan Yeniaras,https://scholar.google.com/citations?view_op=medium_photo&user=R0zgQ6wAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Erhun Kundakcioglu,https://scholar.google.com/citations?view_op=medium_photo&user=k6NTKvsAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Behlul Ozkan,https://scholar.google.com/citations?view_op=medium_photo&user=hRl-4i0AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Hakan Demir,https://scholar.google.com/citations?view_op=medium_photo&user=6s8dusgAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Alpay Er,https://scholar.google.com/citations?view_op=medium_photo&user=xjYYciwAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Saadet Erbay,https://scholar.google.com/citations?view_op=medium_photo&user=L_9Y0KUAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Atakan Yalcin,https://scholar.google.com/citations?view_op=medium_photo&user=dAh6UCIAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ceren Hayran,https://scholar.google.com/citations?view_op=medium_photo&user=KGwM3uAAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Sendur Polat,https://scholar.google.com/citations?view_op=medium_photo&user=bfSCM5AAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Dilek Günneç,https://scholar.google.com/citations?view_op=medium_photo&user=KjnjA78AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Özge Samancı,https://scholar.google.com/citations?view_op=medium_photo&user=jKakW2wAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Haluk Konuk,https://scholar.google.com/citations?view_op=medium_photo&user=zeV8S8QAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ebru Ertugal,https://scholar.google.com/citations?view_op=medium_photo&user=5xGBjL4AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Özgür Ertunç,https://scholar.google.com/citations?view_op=medium_photo&user=gxkeLykAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Semih Soran,https://scholar.google.com/citations?view_op=medium_photo&user=6VTj76YAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,H. Fatih Ugurdag,https://scholar.google.com/citations?view_op=medium_photo&user=IdZE034AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Tolga Akcura,https://scholar.google.com/citations?view_op=medium_photo&user=yJv3GqoAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Alper Açık,https://scholar.google.com/citations?view_op=medium_photo&user=v0MnOFgAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Gökçe Elif Baykal,https://scholar.google.com/citations?view_op=medium_photo&user=ZCxpY88AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,ramazan ünal,https://scholar.google.com/citations?view_op=medium_photo&user=wP-2bFgAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Kadir Durak,https://scholar.google.com/citations?view_op=medium_photo&user=pSkQX6gAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ezgi Elçi,https://scholar.google.com/citations?view_op=medium_photo&user=-SX9HDgAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ayça Çeşmelioğlu,https://scholar.google.com/citations?view_op=medium_photo&user=qHZUvokAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Kivilcim Dogerlioglu-Demir,https://scholar.google.com/citations?view_op=medium_photo&user=wWNMQDcAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Hatice Kucukonal,https://scholar.google.com/citations?view_op=medium_photo&user=nu-QB-wAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Aslihan Unlu,https://scholar.google.com/citations?view_op=medium_photo&user=bzXRXBkAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Bochra Idris,https://scholar.google.com/citations?view_op=medium_photo&user=WRhrb70AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Enis Kayis,https://scholar.google.com/citations?view_op=medium_photo&user=lGcy34gAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ahmet Murat Fis,https://scholar.google.com/citations?view_op=medium_photo&user=oMEnPdgAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ayfer Dost-Gözkan; Ayfer Dost,https://scholar.google.com/citations?view_op=medium_photo&user=WV2F_Z0AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Celal Alpay Havle,https://scholar.google.com/citations?view_op=medium_photo&user=klraE40AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Eylem Koca,https://scholar.google.com/citations?view_op=medium_photo&user=Bx3oO4oAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Susan Beth Rottmann,https://scholar.google.com/citations?view_op=medium_photo&user=a_8IL0IAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Yasin Özkanca,https://scholar.google.com/citations?view_op=medium_photo&user=7c--43gAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Seyed Amin Seyfi,https://scholar.google.com/citations?view_op=medium_photo&user=AZpGUgMAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Derya Deniz,https://scholar.google.com/citations?view_op=medium_photo&user=8i2PTBEAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Mina Seraj Aksit,https://scholar.google.com/citations?view_op=medium_photo&user=LX7MSuQAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Erinc Albey,https://scholar.google.com/citations?view_op=medium_photo&user=VoHbyvsAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Safiye Feyza Cinicioglu,https://scholar.google.com/citations?view_op=medium_photo&user=p2w-zUYDmyAC
ÖZYEĞİN ÜNİVERSİTESİ,Senem SEYIS,https://scholar.google.com/citations?view_op=medium_photo&user=VfXnBcQAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Mustafa Topaloglu,https://scholar.google.com/citations?view_op=medium_photo&user=S_B-HLUAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,emre sefer,https://scholar.google.com/citations?view_op=medium_photo&user=W5qWthcAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Emre Sefer,https://scholar.google.com/citations?view_op=medium_photo&user=lPj5KHMAAAAJ
